MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"BD+13  2618C" 0 "BD+13  2618C|** GDM    1C|GJ   494 C|Ross  458C|SDSS J130041.93+122114.7|ULAS J130041.74+122114.7|ULAS J130041.72+122114.7|ULAS J130041.73+122114.7|WDS J13008+1223C|WISEP J130041.65+122114.6" 0 0 0 "13 00 41.936" "+12 21 14.72" "Brown Dwarf (M<0.08solMass)" T8.5p 85.54 0.0 0.0
"BD+06  2986B" 0 "BD+06  2986B|GJ   576 B|SDSS J150457.86+053803.2|ULAS J150457.65+053800.8|ULAS J150457.66+053800.8|WISEP J150457.58+053800.1|WISE J150457.57+053759.8" 0 0 0 "15 04 57.656" "+05 38 00.83" "High proper-motion Star" T6.5 53.8 0.0 0.0
"BD+05  1668c" 0 "BD+05  1668c|GJ   273 c" 0 0 0 "07 27 24.4997" "+05 13 32.833" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"BD+05  1668b" 0 "BD+05  1668b|GJ   273 b" 0 0 0 "07 27 24.4997" "+05 13 32.833" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"BD+02  2098b" 0 "BD+02  2098b|GJ   328 b" 0 0 0 "08 55 07.597" "+01 32 56.44" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"2MASS J19362286+5013034" 0 "KIC 11918614|GJ   765 B|LSPM J1936+5013W|2MASS J19362286+5013034|NLTT 48024" 0 0 0 "19 36 22.860" "+50 13 03.44" "Not an object (error, artefact, ...)" 0 0.0 0.0 0.0
"2MASS J02355993-2331205" 0 "2MASS J02355993-2331205|GJ  1048 B|HD  16270B|2MASSI J0235599-233120|WDS J02360-2331B" 0 0 "HD 16270B" "02 35 59.93" "-23 31 20.5" "Brown Dwarf (M<0.08solMass)" L1.5 47.04 5.1e-05 0.0
"** STF 1774" 0 "CCDM J13404+5031AB|** STF 1774|GJ   521.2|WDS J13404+5031AB" 0 0 0 "13 40 23.3" "+50 31 09" "Double or multiple star" 0 0.0 0.0 0.0
"** HJ 5173" 0 "CCDM J20112-3605AB|** HJ 5173|GJ   783|IDS 20046-3621 AB|IRAS 20079-3614|2MASS J20111207-3606063|WDS J20112-3606AB|WISE J201112.24-360619.4" 0 0 0 "20 11 11.61" "-36 05 50.6" "Double or multiple star" 0 0.0 0.0 0.0
"** HJ 3580" 0 "CCDM J03294-6256AB|** HJ 3580|GJ   143.2|IDS 03276-6317|WDS J03294-6256AB" 0 0 0 "03 29 22.7" "-62 56 15" "Double or multiple star" 0 0.0 0.0 0.0
"** HJ 3573" 0 "IDS 03202-5021 AB|** HJ 3573|GEN# +1.00021209J|GJ   140.1|GJ  9115|IDS 03202-5021|WDS J03233-5000AB|[AOP94]  5" 0 0 0 "03 23 17.18" "-49 59 30.9" "Double or multiple star" 0 0.0 0.0 0.0
"** BGH   25" 0 "CCDM J07400-0336AB|** BGH   25|GJ   282|IRAS 07374-0328|WDS J07400-0336AB" 0 0 0 "07 39 59.33" "-03 35 51.0" "Double or multiple star" 0 0.0 0.0 0.0
"BD+21  2486C" 0 "2MASS J13054106+2046394|BD+21  2486C|GJ   499 C|2MASSI J1305410+204639|SDSS J130541.04+204639.8" 0 0 0 "13 05 41.068" "+20 46 39.45" "Brown Dwarf (M<0.08solMass)" L5 0.0 2e-05 0.0
"GJ  3053 b" 0 "GJ  3053 b|LHS  1140b" 0 0 0 "00 44 59.31" "-15 16 16.7" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"BD-15  6290e" 0 "BD-15  6290e|GJ   876 e" 0 0 0 "22 53 16.7335" "-14 15 49.318" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"CD-29  4446A" 0 "CD-29  4446A|** HDS 1054A|CCDM J07289-3015A|GJ  2060 A|WDS J07289-3015A" 0 0 0 "07 28 51.38" "-30 14 49.1" "High proper-motion Star" M0.5 75.1 0.0001 0.0
"GJ   160.2 b" 0 "GJ   160.2 b" 0 0 0 "04 06 34.8413" "-20 51 11.239" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   139 d" 0 "GJ  1390 d|GJ   139 d|HD  20794d" 0 0 "HD 20794d" "03 19 55.6509" "-43 04 11.217" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   139 c" 0 "GJ   139 c|HD  20794c" 0 0 "HD 20794c" "03 19 55.6509" "-43 04 11.217" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ   139 b" 0 "GJ   139 b|HD  20794b" 0 0 "HD 20794b" "03 19 55.6509" "-43 04 11.217" "Extra-solar Confirmed Planet" 0 0.0 0.0 0.0
"GJ    54.1 d" 0 "GJ    54.1 d" 0 0 0 "01 12 30.6391" "-16 59 56.335" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ    54.1 c" 0 "GJ    54.1 c" 0 0 0 "01 12 30.6391" "-16 59 56.335" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ    54.1 b" 0 "GJ    54.1 b" 0 0 0 "01 12 30.6391" "-16 59 56.335" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"GJ    29.1 B" 0 "GJ    29.1 B|** TOK   10B|2MASS J00424730+3532570|UCAC3 252-5243|WDS J00428+3533B" 0 0 0 "00 42 47.289" "+35 32 56.87" Star 0 0.0 0.0 0.0
"GJ    15 Ab" 0 "GJ    15 Ab" 0 0 0 "00 18 22.8853" "+44 01 22.628" "Extra-solar Planet Candidate" 0 0.0 0.0 0.0
"G 262-18" 0 "G 262-18|GJ  4150|LSPM J2033+6419|2MASS J20335984+6419099|NLTT 49528|PM J20339+6419|UCAC4 772-047967|USNO-B1.0 1543-00236167|[RHG95]  3210" 0 0 0 "20 33 59.8451" "+64 19 09.986" "High proper-motion Star" M3.5 0.0 0.0 0.0
"G 252-27" 0 "GJ  3529|EGGR 349|G 252-27|LHS  2101|LP   36-115|LSPM J0905+7314|2MASS J09053288+7314546|NLTT 20850|USNO-B1.0 1632-00076053|WD 0900+73|WD 0900+734" 0 0 0 "09 05 32.884" "+73 14 54.64" "White Dwarf" DC9 0.0 0.0 0.0
"G 217-23" 0 "G 217-23|GJ  4373|LSPM J2354+5141|2MASS J23541048+5141099|NLTT 58343|PM J23541+5141|UCAC4 709-119612|USNO-B1.0 1416-00528289|[RHG95]  3777" 0 0 0 "23 54 10.4978" "+51 41 09.918" "High proper-motion Star" M3.5 57.9 0.0 0.0
